,Unnamed: 0,atl hip hop,australian pop,big room,boy band,brostep,canadian hip hop,canadian pop,country rap,dance pop,dfw rap,edm,electropop,escape room,latin,panamanian pop,pop,pop house,r&b en espanol,reggaeton,reggaeton flow,trap music,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1251138310638726,0.8807553587625132,0.7379735186326362,0.75,1.0,0.8781197659227119,0.7791790413030779,0.6527198674219179,0.0583448947488635,0.78658578174438
24,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7313945021456671,0.3370168838666991,0.371458259400629,0.0,0.5439593106327716,0.7721042917130142,0.3710394733572628,0.5221758939375344,0.8154972427507936,0.6781193969531163
25,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5970226735705255,0.9301922661410198,0.4300253756307568,0.75,0.5936926411670824,0.9363027976376004,0.3459856683894138,0.7832638409063015,0.1562195384282602,0.0
26,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2249978600968214,0.6047854781890938,0.7916349583951408,0.5,0.7958889470453636,0.6357629221209361,0.4627754685558729,0.9538357118211416,0.3114263358094146,0.3451933017622401
27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1923993591932395,0.358743739255063,0.5446665076871393,0.375,0.8294828004351504,0.4802596472334693,0.4807250912966512,0.6635240169826692,0.0,0.6781193969531163
28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1591145238829314,0.9772741226710102,0.5728325224573578,0.875,0.1132827525593784,0.7535497261388472,0.3585450246420496,0.302421405205421,0.1562195384282602,0.78658578174438
29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1422055789466538,0.893348294998892,0.2819432955272845,0.75,1.0,0.9921885489186651,0.5338285301999561,0.0955648212124931,0.711583229443915,0.6781193969531163
30,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.4607446716820851,0.0,0.25,0.4306765580733933,0.4309689648825786,0.4627754685558729,0.3216736159093698,0.0583448947488635,0.4014971956171091
31,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7888907031398542,0.0,0.6836370125860989,0.0,0.3652123889719707,0.3921753273696206,0.2692072728491568,0.8721833133550618,0.8737088505441293,0.6781193969531163
32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1923993591932395,0.7878047212504726,0.6836370125860989,0.625,0.3652123889719707,0.7721042917130142,0.2496137522132424,0.4817615370967411,0.7750567919235509,0.6781193969531163
33,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2249978600968214,0.6047854781890938,0.7379735186326362,0.375,0.5936926411670824,0.1640762836049942,0.4019980994485852,0.0540730843033054,0.4661797354115629,0.6781193969531163
34,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2569377601656057,1.0000000000000004,0.6562075077089706,0.625,1.0,0.4681771625578756,0.5454822663597012,0.4384840146222978,0.1562195384282602,0.6781193969531163
35,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4640896800381364,0.8016305707661018,0.3418468685773601,0.375,0.6397385131955606,0.3788549272178156,0.1695177266885972,0.4233071998786832,0.1562195384282602,0.6781193969531163
36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9999999999999992,0.773782753863729,0.6008088606214037,0.625,0.4898961024049784,0.7155772305709668,0.5570840920073263,0.3579068492022818,0.8925197734440624,0.78658578174438
37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.918906774662009,0.9301922661410198,0.5163069052242872,0.625,1.0,0.9685015103502882,0.1558868194486229,0.3401390166163728,0.1097477789144606,0.5684272865646491
38,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766142522457284,0.8152657128197496,0.8446458843328828,0.625,0.4898961024049784,1.0,0.2821785262707106,0.1305439734843836,0.1562195384282602,0.1742151714041231
39,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1758445348276129,0.55319818465455,0.7648870517444499,0.5,0.1132827525593784,0.7721042917130142,0.3958376071833456,0.7738912053031232,0.19895473177119,0.0584428155381129
40,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.318944581283878,0.7451276424076156,0.4300253756307568,0.375,0.4306765580733933,0.4802596472334693,0.5686346947161485,0.0540730843033054,0.0,0.6234291581884897
41,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7451276424076156,0.6562075077089706,0.5,0.2090619551221675,0.8173304652265322,0.2165830305295415,0.0,0.1097477789144606,0.7325032405928162
42,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1923993591932395,0.195557102653932,0.0645386467773185,0.5,0.9481920934663796,0.3788549272178156,0.4985487471034311,0.6635240169826692,0.0,0.5684272865646491
43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.743062239834396,0.2205845692091785,0.9999999999999996,0.125,0.1132827525593784,0.4182238810868095,0.3896616167508844,0.1613612252796282,0.4079474418994009,0.4014971956171091
44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2249978600968214,0.7595590246381136,0.9488072563285956,0.75,0.0,0.8349855640127543,0.1558868194486229,0.6847028796285655,0.3771473283811709,0.6234291581884897
45,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548368710466107,0.6538136478623291,0.3418468685773601,1.0,1.0,0.5271414876416071,0.2886372784776259,0.2148429155135054,0.1097477789144606,0.6234291581884897
46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9999999999999992,0.8419844238014078,0.371458259400629,0.75,0.2920296742201791,0.8781197659227119,0.4142730524034408,0.5089882745799299,0.1562195384282602,0.6234291581884897
47,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2569377601656057,0.893348294998892,0.4300253756307568,0.875,0.7603744277225881,0.7628616270987939,0.4866801751851284,0.4384840146222978,0.1097477789144606,0.6234291581884897
48,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.318944581283878,0.773782753863729,0.1279546253171348,0.5,1.0,0.593633570830637,0.5103624979488757,0.4955229297305229,0.0,0.6234291581884897
49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1758445348276129,0.893348294998892,0.6008088606214037,0.5,0.2090619551221675,0.7058941815092362,0.4386419931146288,0.4676836665281122,0.3771473283811709,0.2885491938226128
